key,id,title,text,label
2104630,3169,Overcoming the Era of #FakeNews: A Contingency Learning Approach,"In the age of the Internet, the increased prevalence of fake news is supporting an increase in beliefs that are not founded on evidence (Carroll, 2015). Algorithms used by social media and search engines exacerbate the impact of false beliefs by favouring information that echoes people's cherished ideas and beliefs. The resulting myths become increasingly difficult to eradicate (Lewandowsky et al., 2012). Research indicates that showing people facts is not enough to eradicate false beliefs (Yarritu &amp; Matute, 2015). Clearly, a systematic, fundamental understanding of belief in fake news is essential to develop effective counter-measures.
At the root of false beliefs, such as those propagated by fake news, lies the phenomenon of contingency learning: the process by which people learn to associate one variable with another. My objective is to understand this process in context of false beliefs. By doing so, I will develop a strategy to prevent false beliefs from forming and, consequently, prevent people from sharing these fake stories with others.
Contingency theory (Allan, 1980) provides a normative account of causal belief, stating that the belief should correspond with the difference in the probability that two events co-occur, P (Event 1|Event 2), and the probability that one of these events occurs in isolation, P (Event 1|No Event 2). This difference is quantified as the degree of contingency.
Unfortunately, people do not adhere to this normative account; contingency beliefs are often biased. People tend to believe that events that occur often are somehow related, even if they are not (Allan &amp; Jenkins, 1983; Byrom et al., 2015). People also use irrelevant contextual cues to infer causality (Van Tilburg &amp; Igou, 2014) yet fail to consider information relevant to their judgement (Matute et al., 2015). These discoveries in contingency learning research offer an ideal basis for understanding why people believe fake news, and what can be done to counter these beliefs.
Many people believe that taking Vitamin C cures the common cold. A systematic review found that there was no trial evidence for the efficacy of Vitamin C (Hemila &amp; Chalker, 2013). As people tend to recover with or without Vitamin C supplement, they are at risk of incorrectly attributing their recovery to Vitamin C. 
The relationship between Vitamin C and the common cold is a low-cost scenario. However, the situation becomes troubling when considering the unconfirmed belief that cannabis oil is a natural treatment for cancer. Facebook pages echoing this claim are followed by many thousands. People have inferred a correlation between cancer remission with taking cannabis oil and may choose to use cannabis oil as a treatment for cancer, which have had disastrous health consequences. 
Research into false beliefs by examining their roots in contingency learning may provide crucial insight into understanding and preventing the negative impact of fake news. To date, most work has been focused on either scenarios where participants make judgements of their control over events or they passively observed the relationship between two events. 
I will test if and how contingency learning shapes belief in fake news, by examining how people evaluate the truthfulness of a 'news headline' that claims a statistical relationship between two events (e.g. &quot;cannabis oil cures cancer&quot;) on basis of information presented to them. For example, participants will be presented with cases of hypothetical individuals who are described as being administered cannabis oil or not, and as experiencing a remission in cancer or not. Similar headlines on different topics will be used to assess the universality of effects. This approach places the contingency learning paradigm in a context directly relevant to understanding belief in fake news. Based on these results a second pair of experiments will test how well and long effect of training to identify fake news will last.",0
2116936,33900,Assessing the complexity of embryonic somites with single cell genomics,"A fascinating question in biology asks how multicellular organisms arise from a single cell: the fertilized egg. During embryogenesis, na&iuml;ve and still plastic progenitor cells communicate with each other, first to form different layers and to organize the main body axes, and later to build specialized organs with highly differentiated cell types and functions. The cells in an embryo coordinate these complex events by activating gene expression programmes, often in response to extrinsic signals. The control of cell differentiation is important throughout the life of an organism, for example to repair tissue after injury or for growth and remodeling using tissue resident stem cells, which activate cellular differentiation programmes similar to those used in the embryo. However, many details of how cells progressively differentiate - at the right time and in the right place - are still poorly understood. This will be addressed here in developing somites, paired segments along the axis of vertebrate embryos, which generate much of the musculoskeletal system from an initially homogenous population of cells. The project will use advanced (low input) sequencing techniques to determine molecular profiles of progenitor cells present in early somites. By looking at different stages of somite differentiation we will characterize cellular intermediates and transition states as more specialised cell types arise.",0
1966167,45788,Gene Therapy for Surfactant Disorders,"At birth, some babies fail to breathe due to a failure to inflate their lungs and often this is due to genetic diseases resulting in a lack of surfactant protein. Surfactant forms a thin film that covers the gas exchange surface in the lung. It is required to prevent the lung from collapse. Several proteins are crucial to normal surfactant metabolism, for example, surfactant protein B, surfactant protein C and ABCA3. Absence or reduced function of such proteins due to genetic mutation leads to severe respiratory distress. The outlook for affected babies can be poor and progress in developing treatments has been slow as the majority of such diseases are very rare. In my DPhil project I am investigating gene therapy for surfactant disorders. The principle is to deliver the correct genetic information to specific cells in the lung called alveolar type II cells, the site of surfactant metabolism, using adeno-associated virus (AAV) as a vehicle for delivery. AAV is a non-pathogenic virus which is known for its ability to infect different target tissues with a good safety profile in gene therapy applications. If the delivered genes are expressed long-term in the lung this approach has the potential to treat surfactant disorders. Importantly, even partial correction may have a benefit, for example by extending the window in which lung transplantation could be offered.",0
1630466,12408,The AGN-star formation connection with ALMA,"Using state of the art infrared observations, including ALMA, the project will explore the connection between AGN activity and star formation. The analyses will include comparing the star formation rates against AGN luminosity and comparing star-formation rate distributions of AGN with those of star formation galaxies and normal galaxies. The overall objective of the project is to explore whether AGN effect their environment in some way, as predicted by the leading models of galaxy formation; e.g., the AGN shutting down or enhancing star formation activity. The project will also investigate whether UV-near-IR observations can be used to constrain star formation rates in AGN for sources not detected by ALMA.",0
1789861,31157,Stimuli Responsive Catalysis,"Stimuli-responsive catalysis has had a considerable impact on catalyst reusability and recyclability through combining the reactivity of homogenous catalysis with the ease of recovery of heterogeneous catalysis. This has primarily been achieved through the development of thermo- or pH-reponsive polymer- or gel-based catalytic systems as recyclable catalysts for organic synthesis. However, examples of controlling catalytic activity through stimuli other than pH or temperature, are lacking by comparison. Recently a pro-ligand approach has been developed to activate metal complexes to carry out selective synthetic transformations only in the presence of specific enzymes (Chem. Sci., 2015, 6, 4978-4985.). 
The challenges are inter-disciplinary and focus on developing fundamental new science in stimuli-responsive catalysis. Specifically, each new target-configured reagent system requires: (a) Stable latent catalyst; (b) Biocompatible conditions; (c) Fast, selective and irreversible activation; (d) Well understood mechanism of activation; (e) No activation by impurities; (f) Low background reaction; (g) Fast, selective functional group transformation. To address these challenges the project will focus on the three principal elements of recognition, activation and response. There are opportunities for the student to direct the project into the research areas that interest them the most - this a concept driven project that could find application in chemical diagnostics, the repair or recycling of materials or drug discovery. A particularly ambitious approach would be to develop two enantiomeric complexes that could be selectively activated to synthesise either enantiomer of a desired product (e.g. amino acid). As enantiomeric compounds are known to often have very different biological properties this could be the basis of a smart catalyst system that could make a specific drug in the presence of one enzyme (stimulus) and another in the presence of a different enzyme. 
The preliminary communication of this concept was submitted to Nature Chemistry and was selected to go out to referee but narrowly rejected. Our publication strategy is therefore to remain ambitious, we have confidence that this project area is of interest to a broad range of scientists and will pass editorial review at the highest level: Nature, Science and J. Am. Chem. Soc. It is clear that this concept could form the basis of a competitive grant application to EPSRC responsive mode and this will be pursued whilst continuing to build a critical mass of preliminary results and publications.",0
ST/P00055X/1,26899,"Fields, Strings and Lattices: From the Inflationary Universe to High-Energy Colliders","Research in particle physics and cosmology connects the largest scales, those of the Universe as a whole, with the smallest, namely those of fundamental particles and strings. By trying to understand how the Universe evolved after the Big Bang, we may gain insight into which particles are yet to be discovered at e.g. the Large Hadron Collider at CERN, and vice versa, a fascinating prospect!

It is commonly assumed that the early Universe went through a period of rapid expansion, dubbed inflation. The mechanisms underlying inflation can be investigated in a number of ways. In the so-called bottom-up approach, one aims to find predictions that are independent of details of models, but only depend on symmetries and the nature of the source of inflation. It is then possible to extract universal features leading to observational predictions and point towards physics beyond our currently known Standard Models of Particle Physics and Cosmology. In the complementary top-down approach, one starts with the given theory, e.g. one that is motivated by string theory, and derives its consequences, which, again might be testable by observations. These approaches can also be used to study the period of cosmic acceleration our Universe is currently going through, i.e. dark energy.

String theory is a theory of gravity (and other forces) operating at very high-energy scales. Besides its possible role as a fundamental theory, it has many intricate aspects which require a level of understanding deeply rooted in symmetries and dualities (a transformation that leads to two 'dual' formulations which are superficially very different but yet equivalent). By studying those, one may not only understand string theory better, but also arrive at dual theories which are relevant for e.g. physics beyond the Standard Model (BSM) probed at the LHC, especially if the BSM model is strongly coupled.

In order to make predictions for the LHC, it is necessary to perform very precise calculations, in BSM models and in the Standard Model itself. Some of these calculations can be done by expanding in a small parameter. This does not mean that the computation is easy though, since many scattering processes may contribute. However, it might be that by re-organising these contributions a new, more efficient, formulation can be found.

When there is no small parameter, a theory has to be solved as it stands. Often this can be attempted numerically, by formulating it on a space-time lattice. Since this involves very many degrees of freedom, typically one has to employ the largest supercomputers in the world. The theory of the strong interaction, Quantum Chromodynamics (QCD), is one of those theories in which a small parameter is absent. Although it is formulated in the terms of quarks (as matter particles) and gluons (as force carriers), these are not the particles that appear in the spectrum, which are instead protons, neutrons, pions etc. However, since QCD is so hard to solve, there may be other particles not yet detected and also not yet understood theoretically: examples are so-called glueballs and hybrid mesons. By studying QCD on the lattice, these ideas can be tested quantitatively.

A related question concerns what happens with all these particles when the temperature (as in the early Universe) or the matter density (as in neutron stars) is increased. Also this can be studied numerically and a transition to a new phase of matter at high temperature, the quark-gluon plasma, has been observed. Since this phase is currently being explored at the LHC, by colliding heavy ions, quantitative predictions on the spectrum and on transport properties, such as how viscous the plasma is, are needed here as well. 

Some BSM models also lack a small parameter and hence are studied using similar lattice computing techniques. By scanning models with distinct features, again hints for the LHC may be found, e.g. with regard to unusual spectral features.",0
EP/S001921/1,13516,An intelligent approach to the automatic characterisation and design of synthetic promoters in mammalian cells,"Synthetic Biology (SynBio) is an emerging engineering discipline with an ambitious goal: empowering scientists with the ability to programme new functions into cells, just like we would do with computers. Despite a thriving community and notable successes, however, writing &quot;functioning algorithms&quot; for cells remains extremely time-consuming. This is a roadblock towards the engineering of mammalian cells, an area uniquely positioned to develop potentially groundbreaking therapeutic applications. This translates into high development costs that, in turn, are limiting the pace at which Synthetic Biology progresses towards applications. Model-Based System Engineering (MBSE) is the answer the engineering community found to similar problems and is widely used to streamline manufacturing. In this framework, mathematical models are used to screen candidate designs via simulations and bring to testing only the most promising solutions.

Despite being an engineering discipline, SynBio lacks a MBSE framework. This is largely due to three connected issues: (a) the scarcity of accurate mathematical models of parts (e.g. promoters) in the first place. Such a shortage (b) makes it difficult to &quot;reverse engineer&quot; the connection between the DNA sequence and the kinetics of the transcribed mRNA (e.g. promoter sequence and leakiness of expresion). This means that (c) the inverse &quot;re-design&quot; problem, i.e. finding the optimal DNA sequence of a part, cannot be solved, let alone automatically.

With this fellowship, I aim at filling this gap and develop a &quot;Model-Based Biosystem Engineering&quot; (MBBE) framework to automate the Design-Build-Test-Learn (DBTL) cycle in Synthetic Biology. Given their role in cell and gene therapy, with my team, we will focus on synthetic promoters for mammalian cells. Prompted by the recent successes and challenges of CAR T cells -immune cells engineered to kill cancer cells, we will use the framework to engineer a hypoxia-inducible promoter that optimises a set of criteria we will determine and prioritise with our collaborator Prof. Chen at UCLA.

We will first focus on the development of the MBBE framework; to this aim we will tackle the three issues mentioned above by: (a) developing a high-throughput microfluidic device that allows to infer, with minimum experimental efforts (via Optimal Experimental Design), reliable mathematical models of hundreds of variants of a promoter, (b) using these results to automatically learn/predict gene expression dynamics from promoter sequence via machine learning and (c) combining this prediction scheme with computational optimisation to identify and refine promoter sequences so that they satisfy given specifications and maximise pre-determined objectives.

To develop a hypoxia-inducible promoter, we will start from an initial pool of 600 sequences -designed to cover a fraction of the design space as big as possible, and we will iterate twice over our automatic DBTL loop to finally obtain promoter(s) that can be used to overcome the current limitations of CAR T cells.

Besides automating the DBTL cycle, the approach I propose has three main benefits: it allows to obtain, and publicly share, reliable models (1) faster -as we will use Optimal Experimental Design methods to minimise experimental efforts, (2) cost-effectively -as microfluidics drastically reduces the use of reagents and automation renders human intervention unnecessary; (3) in a reproducible way -as all the data and the steps in the inference are tracked and immediately made publicly available.",0
ES/P006043/1,20701,Partnership Schools for Liberia: Impact on Accountability Mechanisms and Education Outcomes,"Liberia's public education system is moribund. The civil war of 1999-2003 and the Ebola epidemic of 2014 have left the Ministry of Education with little capacity to run a national school system. An effort to clean thousands of ghost teachers from Ministry payrolls was cut short (New York Times, 2016), and while systematic data is scarce, teacher absenteeism appears common (Mulkeen, 2009). Nearly two-thirds of primary aged children are not in school, including over 80 percent of children in the poorest quintile, placing Liberia in the lowest percentile of net enrollment rates in the world, and at the 7th percentile in youth (15-24) literacy (EPDC, 2014).

Faced with these dire statistics, the Liberian Ministry of Education announced in early 2016 that it would contract the operation of government primary schools to a group of private companies. Key features of this public-private partnership are that (a) all schools will remain free to students, and (b) teachers will be unionized civil servants, drawing from the existing teaching corps.

We propose a large-scale field experiment to study the effect of this new Partnership Schools for Liberia (PSL), comparing 120 schools that have been delegated to management by private operators to 120 control schools under government management. The randomized field experiment will allow us to investigate three main aspects of accountability:

1. Managerial accountability (of teachers to private operators). A central hypothesis underlying Liberia's charter school program is that private operators with greater capacity to implement routine performance management systems, regularly monitor teacher attendance, and provide teachers with frequent feedback and support will help to overcome teacher absenteeism and low education quality. This is not about carrots and sticks. We will test private operators' ability to generate accountability without authority to fire teachers or hire new teachers on flexible contracts.

2. Bottom-up accountability (of teachers and operators to parents). An underlying hypothesis behind charter schools is that they will be more reactive to parents demands than traditional public schools because their funding is linked directly to enrollment numbers. We will test this by comparing student transfers (exit) and parental involvement (voice) in PSL and control schools.

3. Top-down, results-based accountability (of private operators to the Ministry of Education). Charter school operators' contracts can be terminated if they do not achieve certain pre-established standards, commonly known as results-based accountability. The first year of the PSL pilot (2016/17) will lack any formal mechanism to hold operators accountable for results. A major innovation and focus of the year 2 expansion under study here is to develop and test different forms of top-down accountability based on measurable learning gains.

This proposal seeks support for a follow-up study to track the longer-term effects of the PSL program in years two and three of operation (2017/18 and 2018/19) focused on scalability and sustainability. A separate evaluation of the first year PSL pilot (2016/17) is already underway and will be nearing completion when DFID-ESRC funding decisions are made. The longer-term follow-up study is of paramount importance for several reasons. First, it is important to document whether any learning gains achieved in year 1 can be maintained over a longer horizon. Second, the year 1 pilot has been heavily subsidized and disproportionately concentrated in Monrovia, whereas years 2 and 3 will focus on more cost-effective and sustainable models, including new schools in more remote and underserved areas. Third, in years 2 and 3 the program will introduce new top-down results-based accountability measures mentioned above, which are a major focus of our current proposal.",0
1912377,12128,Liquidity and the making of unconventional monetary policy,"This research project addresses the role of liquidity in the making of this unconventional monetary policy in the United States and the United Kingdom. While liquidity problems were mentioned frequently following the crisis, there remains very little agreement about what the concept actually means. Instead, we often encounter liquidity only as a metaphor: for example, we are told that during the crisis, markets that were previously 'awash with liquidity' suddenly 'dried up'. But how exactly do policymakers make sense of the policy challenges associated with liquidity if the concept itself remains so elusive? 
Liquidity typically describes the convertibility of an asset into a form of money. Yet the term remains conceptually ambiguous because it encompasses both the 'money-ness' of individual assets, and a state of financial markets more generally in which such assets can be exchanged. Liquidity is never inherent in any asset but always rests on the speculative confidence that the financial community as a whole places in the continued 'money-ness' of financial assets (Orl&eacute;an 2014). Conversely, liquidity evaporates when economic actors lose confidence in the ability of economic models to accurately forecast future movements in risk and value (Colander et al. 2009; Bryan and Rafferty 2013; Davidson 2010). Every financial crisis is therefore also a crisis of valuation. The financial crisis of 2008 has been a powerful reminder of this. To avoid a total financial meltdown, it then becomes the responsibility of the state to assume hitherto unconventional powers in the attempt to restore confidence in the internal cohesion of the market's valuation regime (Mehrling 2011). 
I suggest that making sense of liquidity is a highly political process: it always legitimates specific courses of actions and economic discourses at the expense of others (cf. Admati and Hellwig 2013; Langley 2014). Until now, there has been very little research on how policymakers draw on different idea of liquidity in their attempt to make sense of the policy challenges at hand. Building on recent studies of the micro-dynamics of sensemaking and narration that shape the communicative strategies of central banks (e.g. Abolafia 2010; Abolafia and Hatmaker 2013; Braun 2015; Fligstein et al. 2014; Holmes 2016), I seek to critically analyse how the relationship between liquidity and monetary policy has been recast in the imagination of central bank researchers and policymakers since the financial crisis, and has legitimated a specific set of political responses. 
The aim of this project is therefore to provide a genealogy of liquidity. Drawing on the methodological framework of pragmatist sociology, I emphasise that, historically, multiple and fragmented meanings have been attached to the concept of liquidity. A genealogy offers the possibility to create a better understanding of how different approaches to liquidity have always co-existed and underpinned very different ideas about the relationship between the state and the market. Based on this approach, I ask specifically how researchers and policymakers at the Federal Reserve have (re)interpreted their relationship to liquidity during and after the financial crisis of 2008. By focusing on the imaginary dimension of crisis - i.e. how different interpretative practices feed the diagnosis and negotiation of crisis and post-crisis episodes - I ask how different historical judgements and critiques of liquidity are struggled over and incorporated into a coherent narrative of (unconventional) monetary policymaking. 
In order to achieve these research goals, I will need to conduct interviews with relevant policymakers in London and New York. Overseas fieldwork in the form of archival work at the Federal Reserve in New York and at the Bank for International Settlements in Basel will also be necessary.",0
1775865,5745,Magnetohydrodynamics in hot Jupiters,"The field of exoplanet research is relatively young with the first exoplanet orbiting a main-sequence star discovered in 1995. &quot;Hot Jupiters&quot; (Jupiter sized planets orbiting
close to their host stars) were the earliest discoveries and are the best characterized exoplanets due to their favorable observing conditions. They are also substantially
different than the giant planets in our own solar system. For both of these reasons, hot Jupiters are an ideal test bed for theories of dynamical processes in gas spheres.
Two of the most fundamental and long standing observational mysteries associated with these objects are: 1) How did hot Jupiters get to their current close positions
(i.e. how did they form)? and 2) Why are they so big? In this project we will be focusing on the second of these two problems.

Recent observations of hot Jupiters indicate that these objects are often substantially larger than standard evolutionary theory predicts. The inflated radii can only be explained by an injection of heat into the planetary interior, which halts gravitational contraction as the planet evolves. One of the leading theories is that Ohmic
heating, due to the dissipation of electric currents, may cause this inflation. This project will use numerical simulations of the magnetohydrodynamic (MHD) equations in both cartesian and spherical geometry to quantify Ohmic dissipation under a variety of parameters typical of the observed hot Jupiters. More specifically, this project will investigate the effect of a fully temperature dependent magnetic diffusivity on the wind structure, magnetic field geometry and Ohmic dissipation within the atmosphere.

The theories developed in this project will be incorporated into planetary evolution models and compared to observations of hot Jupiters. Such observations are already in abundance, but will multiply rapidly with current and future space missions dedicated. Additionally, our simulations will also inform on atmospheric dynamics, atmospheric loss rates and planetary spin down.",0
2275015,43784,Monoclonal antibodies for Lassa fever vaccine design and therapeutics,"Using new improved methods for plasma cell Ig-cloning and to investigate antigen-staining memory B cell enrichment to isolate novel monoclonal antibodies to Lassa fever. There will also be the opportunity to utilise phage display techniques as an alternative approach to antibody isolation. Whilst antibody cloning is a key element of the work, the majority of the project will be spent characterising the antibodies to include epitope mapping, development of replication-competent chimeric VSV isolates and their use in antibody escape.",0
